nDatabases,trueEffect,publicationBias,method,precision,coverage,type1,type2,reproEstimateInCi,reproDisagreeCi,sign,signReproSign,precisionPi,coveragePi,type1Pi,type2Pi,reproEstimateInPi,reproDisagreePi,signPi,signPiReproSign,meanNstudies
1,null,FALSE,Bayesian random effects,0.23511758150174744,0.984,0.016,0,0.962,0.036,0.016,0.005,0.11241400224424741,0.997,0.003,0,0.997,0.003,0.003,0.001,1
1,null,FALSE,Fixed effects,3.1249999999999987,0.719,0.281,0,0.567,0.307,0.281,0.079,3.1249999999999987,0.719,0.281,0,0.567,0.307,0.281,0.079,1
1,null,FALSE,Random effects,3.1249999999999987,0.719,0.281,0,0.567,0.307,0.281,0.079,NA,NA,NA,0,NA,NA,NA,0,1
1,null,TRUE,Bayesian random effects,0.23457063554957855,0.956,0.044,0,0.929,0.072,0.044,0.014,0.1121832212087173,0.991,0.009,0,0.987,0.012,0.009,0.002,3.675
1,null,TRUE,Fixed effects,3.1249999999999987,0.057,0.943,0,0.309,0.535,0.943,0.263,3.1249999999999987,0.057,0.943,0,0.309,0.535,0.943,0.263,3.675
1,null,TRUE,Random effects,3.1249999999999987,0.057,0.943,0,0.309,0.535,0.943,0.263,NA,NA,NA,0,NA,NA,NA,0,3.675
1,fixed,FALSE,Bayesian random effects,0.2333375053285367,0.985,0,0.897,0.963,0.03,0.103,0.097,0.11178051570491028,0.998,0,0.976,0.998,0.002,0.024,0.023,1
1,fixed,FALSE,Fixed effects,3.1249999999999987,0.719,0,0.052,0.567,0.307,0.948,0.889,3.1249999999999987,0.719,0,0.052,0.567,0.307,0.948,0.889,1
1,fixed,FALSE,Random effects,3.1249999999999987,0.719,0,0.052,0.567,0.307,0.948,0.889,NA,NA,0,NA,NA,NA,NA,0,1
1,fixed,TRUE,Bayesian random effects,0.23318691747603662,0.984,0,0.895,0.968,0.027,0.105,0.099,0.11163739201308984,0.998,0,0.976,0.998,0.002,0.024,0.023,1.057
1,fixed,TRUE,Fixed effects,3.1249999999999987,0.758,0,0,0.593,0.278,1,0.936,3.1249999999999987,0.758,0,0,0.593,0.278,1,0.936,1.057
1,fixed,TRUE,Random effects,3.1249999999999987,0.758,0,0,0.593,0.278,1,0.936,NA,NA,0,NA,NA,NA,NA,0,1.057
1,random,FALSE,Bayesian random effects,0.23303243969614576,0.983,0,0.867,0.949,0.046,0.133,0.128,0.11167805581358425,1,0,0.972,0.993,0.007,0.028,0.026,1
1,random,FALSE,Fixed effects,3.1249999999999987,0.649,0,0.07,0.544,0.316,0.93,0.88,3.1249999999999987,0.649,0,0.07,0.544,0.316,0.93,0.88,1
1,random,FALSE,Random effects,3.1249999999999987,0.649,0,0.07,0.544,0.316,0.93,0.88,NA,NA,0,NA,NA,NA,NA,0,1
1,random,TRUE,Bayesian random effects,0.2328272132525637,0.984,0,0.861,0.95,0.047,0.139,0.133,0.11163708526922804,1,0,0.971,0.992,0.008,0.029,0.026,1.077
1,random,TRUE,Fixed effects,3.1249999999999987,0.689,0,0,0.57,0.292,1,0.941,3.1249999999999987,0.689,0,0,0.57,0.292,1,0.941,1.077
